PeakID (cmd=annotatePeaks.pl ./homer_results/mouse_specific_peaks_conservative/peaks_homer.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr2:181671447-181671865:211	chr20	64049658	64049658	+	-1	NA	promoter-TSS (NM_018419)	promoter-TSS (NM_018419)	-19	NM_018419	54345		NM_018419	ENSG00000203883	SOX18	HLTRS|HLTS	SRY-box transcription factor 18	protein-coding
chr17:63467959-63468198:109	chr5	108345764	108345764	+	-1	NA	intron (NM_001163315, intron 4 of 8)	intron (NM_001163315, intron 4 of 8)	36334	NM_001163315	64839		NM_022824	ENSG00000145743	FBXL17	FBXO13|Fbl17|Fbx13	F-box and leucine rich repeat protein 17	protein-coding
chr7:113059084-113059878:376	chr11	13104858	13104858	+	-1	NA	Intergenic	Intergenic	95542	NM_001080521	644943		NM_001080521	ENSG00000189431	RASSF10	-	Ras association domain family member 10	protein-coding
chrX:99049218-99049625:201	chrX	68700470	68700470	+	-1	NA	intron (NM_001142504, intron 1 of 13)	intron (NM_001142504, intron 1 of 13)	6831	NM_001142504	9754		NM_014725	ENSG00000130052	STARD8	ARHGAP38|DLC3|STARTGAP3	StAR related lipid transfer domain containing 8	protein-coding
chr8:35959191-35959707:441	chr8	8550985	8550985	+	-1	NA	Intergenic	Intergenic	-150952	NM_194284	137075		NM_194284	ENSG00000253958	CLDN23	CLDNL|hCG1646163	claudin 23	protein-coding
chr11:69122038-69123168:773	chr17	8121752	8121752	+	-1	NA	exon (NM_001165967, exon 4 of 4)	exon (NM_001165967, exon 4 of 4)	2354	NM_001165967	84667		NM_032580	ENSG00000179111	HES7	SCDO4|bHLHb37|hHes7	hes family bHLH transcription factor 7	protein-coding
chr17:78407639-78407952:167	chr2	36585446	36585446	+	-1	NA	intron (NM_005102, intron 2 of 7)	HAL1|LINE|L1	12722	NM_005102	9637		NM_005102	ENSG00000171055	FEZ2	HUM3CL	fasciculation and elongation protein zeta 2	protein-coding
chr2:115090518-115091259:598	chr15	35993844	35993844	+	-1	NA	Intergenic	Intergenic	66988	NR_039735	100616293		NR_039735	ENSG00000265098	MIR4510	mir-4510	microRNA 4510	ncRNA
chr9:60309799-60310364:152	chr15	71334986	71334986	+	-1	NA	intron (NM_024817, intron 5 of 16)	intron (NM_024817, intron 5 of 16)	-145927	NR_120348	101929196		NR_120348	ENSG00000259964	THSD4-AS1	-	THSD4 antisense RNA 1	ncRNA
chr1:58961144-58961802:477	chr2	201438363	201438363	+	-1	NA	intron (NM_015049, intron 1 of 15)	MIRb|SINE|MIR	13095	NM_015049	66008		NM_015049	ENSG00000115993	TRAK2	ALS2CR3|CALS-C|GRIF-1|GRIF1|MILT2|OIP98	trafficking kinesin protein 2	protein-coding
chrX:162266634-162267087:248	chrX	17253092	17253092	+	-1	NA	Intergenic	Intergenic	-122108	NM_198270	4810		NM_198270	ENSG00000188158	NHS	CTRCT40|CXN|SCML1	NHS actin remodeling regulator	protein-coding
chr4:53513312-53513840:375	chr9	105330849	105330849	+	-1	NA	intron (NM_001330731, intron 3 of 15)	L3|LINE|CR1	86198	NM_080546	23446		NM_022109	ENSG00000070214	SLC44A1	CD92|CDW92|CHTL1|CONATOC|CTL1	solute carrier family 44 member 1	protein-coding
chr11:49613325-49613880:195	chr5	180645691	180645691	+	-1	NA	intron (NM_001354989, intron 1 of 29)	intron (NM_001354989, intron 1 of 29)	3909	NM_002020	2324		NM_002020	ENSG00000037280	FLT4	CHTD7|FLT-4|FLT41|LMPH1A|LMPHM1|PCL|VEGFR-3|VEGFR3	fms related receptor tyrosine kinase 4	protein-coding
chr8:70072404-70073115:104	chr19	19273394	19273394	+	-1	NA	promoter-TSS (NM_001001524)	promoter-TSS (NM_001001524)	-93	NM_001001524	53345		NM_203510	ENSG00000213996	TM6SF2	-	transmembrane 6 superfamily member 2	protein-coding
chrX:11935330-11935649:155	chrX	39946897	39946897	+	-1	NA	Intergenic	L2|LINE|L2	109336	NR_039763	100616251		NR_039763	ENSG00000263972	MIR1587	-	microRNA 1587	ncRNA
chr18:46127664-46128279:91	chr5	115053831	115053831	+	-1	NA	Intergenic	Intergenic	116077	NM_001300759	55521		NM_018700	ENSG00000152503	TRIM36	ANPH|ANPH1|HAPRIN|RBCC728|RNF98	tripartite motif containing 36	protein-coding
chr7:67425662-67426007:158	chr15	99502880	99502880	+	-1	NA	Intergenic	Intergenic	-62537	NM_001352617	4205		NM_005587	ENSG00000068305	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	myocyte enhancer factor 2A	protein-coding
chr19:57411665-57412291:279	chr10	114882078	114882078	+	-1	NA	intron (NM_001135051, intron 16 of 16)	intron (NM_001135051, intron 16 of 16)	-56117	NM_139169	142940		NM_139169	ENSG00000165832	TRUB1	PUS4	TruB pseudouridine synthase family member 1	protein-coding
chr2:155806577-155806952:163	chr20	35263260	35263260	+	-1	NA	intron (NM_006690, intron 4 of 8)	intron (NM_006690, intron 4 of 8)	14862	NM_001355004	101410538		NM_001355003	ENSG00000126005	MMP24OS	MMP24-AS1	MMP24 opposite strand	protein-coding
chr9:122084996-122085499:276	chr3	43247181	43247181	+	-1	NA	Intergenic	Intergenic	-39331	NM_001330750	54861		NM_017719	ENSG00000163788	SNRK	HSNFRK	SNF related kinase	protein-coding
chr8:110711100-110711950:610	chr16	70697138	70697138	+	-1	NA	intron (NM_001351157, intron 15 of 17)	intron (NM_001351157, intron 15 of 17)	-11085	NM_138383	92154		NM_138383	ENSG00000132613	MTSS2	ABBA|ABBA-1|ABBA1|IDDOF|MTSS1L	MTSS I-BAR domain containing 2	protein-coding
chr12:117227129-117227930:281	chr7	157603730	157603730	+	-1	NA	intron (NM_130842, intron 15 of 21)	intron (NM_130842, intron 15 of 21)	-29308	NR_029689	406945		NR_029689	ENSG00000207960	MIR153-2	MIRN153-2|mir-153-2	microRNA 153-2	ncRNA
chr5:140890105-140890511:155	chr7	2928875	2928875	+	-1	NA	intron (NM_032415, intron 12 of 24)	CpG	-84567	NM_007353	2768		NM_007353	ENSG00000146535	GNA12	HG1M1|NNX3|RMP|gep	G protein subunit alpha 12	protein-coding
chr13:34708859-34709457:344	chr6	3808327	3808327	+	-1	NA	Intergenic	Intergenic	-41046	NM_012135	26240		NM_012135	ENSG00000145945	FAM50B	D6S2654E|X5L	family with sequence similarity 50 member B	protein-coding
chr18:69586047-69586859:479	chr18	55328174	55328174	+	-1	NA	intron (NM_001243228, intron 8 of 19)	intron (NM_001243228, intron 8 of 19)	-6333	NM_001348214	6925		NM_003199	ENSG00000196628	TCF4	CDG2T|E2-2|FCD2|FECD3|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19	transcription factor 4	protein-coding
chr1:153353784-153354369:107	chr1	183003771	183003771	+	-1	NA	Intergenic	L2c|LINE|L2	-19649	NM_002293	3915		NM_002293	ENSG00000135862	LAMC1	LAMB2	laminin subunit gamma 1	protein-coding
chr15:66314132-66314511:189	chr8	132506828	132506828	+	-1	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-25733	NM_004519	3786		NM_004519	ENSG00000184156	KCNQ3	BFNC2|EBN2|KV7.3	potassium voltage-gated channel subfamily Q member 3	protein-coding
chr2:158305881-158306859:154	chr20	38345879	38345879	+	-1	NA	promoter-TSS (NM_004139)	promoter-TSS (NM_004139)	-603	NM_004139	3929		NM_004139	ENSG00000129988	LBP	BPIFD2	lipopolysaccharide binding protein	protein-coding
chr1:135619831-135620447:212	chr1	201610346	201610346	+	-1	NA	Intergenic	Intergenic	-37976	NM_020443	89796		NM_020443	ENSG00000134369	NAV1	POMFIL3|STEERIN1|UNC53H1	neuron navigator 1	protein-coding
chr1:133834351-133834705:212	chr1	203581957	203581957	+	-1	NA	Intergenic	Intergenic	-44830	NM_001001396	493		NM_001684	ENSG00000058668	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4	protein-coding
chr8:68336535-68336899:200	chr8	19374867	19374867	+	-1	NA	intron (NM_001174160, intron 7 of 8)	intron (NM_001174160, intron 7 of 8)	60891	NM_001174159	63898		NM_022071	ENSG00000104611	SH2D4A	PPP1R38|SH2A	SH2 domain containing 4A	protein-coding
chr11:44612972-44613590:509	chr5	159104438	159104438	+	-1	NA	intron (NR_109890, intron 1 of 2)	CpG	3955	NR_109890	101927740		NR_109890	ENSG00000245812	LINC02202	-	long intergenic non-protein coding RNA 2202	ncRNA
chr5:119058230-119059172:503	chr12	115504455	115504455	+	-1	NA	Intergenic	Intergenic	644199	NR_030351	693205		NR_030351	ENSG00000207967	MIR620	MIRN620|hsa-mir-620	microRNA 620	ncRNA
chr2:181212355-181213338:477	chr20	63547488	63547488	+	-1	NA	promoter-TSS (NM_080823)	promoter-TSS (NM_080823)	16	NM_080823	6725		NM_080823	ENSG00000125508	SRMS	C20orf148|PTK70|SRM|dJ697K14.1	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	protein-coding
chr9:46328836-46329615:334	chr11	116710454	116710454	+	-1	NA	Intergenic	Intergenic	62533	NM_032725	84811		NM_032725	ENSG00000137656	BUD13	Cwc26|fSAP71	BUD13 homolog	protein-coding
chr5:146655213-146655931:455	chr13	26911157	26911157	+	-1	NA	Intergenic	Intergenic	-150371	NM_005288	2835		NM_005288	ENSG00000132975	GPR12	GPCR12|GPCR21|PPP1R84	G protein-coupled receptor 12	protein-coding
chr15:59393897-59394241:185	chr8	125122567	125122567	+	-1	NA	intron (NR_146191, intron 3 of 8)	L2b|LINE|L2	30707	NM_173685	286053		NM_173685	ENSG00000156831	NSMCE2	C8orf36|MMS21|NSE2|ZMIZ7	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase	protein-coding
chr13:28519799-28520253:213	chr6	22056722	22056722	+	-1	NA	intron (NR_015410, intron 8 of 11)	intron (NR_015410, intron 8 of 11)	90471	NR_034143	729177		NR_034143		NBAT1	CASC14|NBAT-1	neuroblastoma associated transcript 1	ncRNA
chr6:8174041-8174470:246	chr7	7529612	7529612	+	-1	NA	intron (NM_001037763, intron 3 of 34)	intron (NM_001037763, intron 3 of 34)	6261	NM_001037763	340267		NM_001037763	ENSG00000215018	COL28A1	COL28	collagen type XXVIII alpha 1 chain	protein-coding
chr13:93821988-93822363:185	chr5	78923216	78923216	+	-1	NA	intron (NM_000046, intron 4 of 7)	LTR16E2|LTR|ERVL	62094	NM_000046	411		NM_000046	ENSG00000113273	ARSB	ASB|G4S|MPS6	arylsulfatase B	protein-coding
chr5:111208632-111208897:144	chr22	28138749	28138749	+	-1	NA	intron (NM_001145418, intron 6 of 22)	MIRb|SINE|MIR	-218137	NR_036169	100423034		NR_036169	ENSG00000264073	MIR3199-1	mir-3199-1	microRNA 3199-1	ncRNA
chr8:120188455-120188898:182	chr16	85134854	85134854	+	-1	NA	Intergenic	Intergenic	-2296	NR_033984	400548		NR_033984	ENSG00000278214	LINC02139	-	long intergenic non-protein coding RNA 2139	ncRNA
chr5:101935846-101936398:174	chr4	84808364	84808364	+	-1	NA	exon (NM_014991, exon 15 of 68)	exon (NM_014991, exon 15 of 68)	-157252	NR_152772	404201		NM_205857	ENSG00000180769	WDFY3-AS2	C4orf12|FBI4|NCRNA00247	WDFY3 antisense RNA 2	ncRNA
chr9:21321426-21322037:161	chr19	10603331	10603331	+	-1	NA	intron (NM_001145056, intron 1 of 21)	intron (NM_001145056, intron 1 of 21)	876	NM_001145056	57153		NM_020428	ENSG00000129353	SLC44A2	CTL2|PP1292	solute carrier family 44 member 2 (CTL2 blood group)	protein-coding
chr18:37824840-37825172:178	chr5	141494804	141494804	+	-1	NA	intron (NM_018929, intron 1 of 3)	intron (NM_018929, intron 1 of 3)	5563	NM_032407	56097		NM_018929	ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	protocadherin gamma subfamily C, 5	protein-coding
chr2:119311335-119312024:106	chr15	40915054	40915054	+	-1	NA	Intergenic	Intergenic	8245	NR_135836	105370943		NR_135836		LOC105370943	-	uncharacterized LOC105370943	ncRNA
chr11:98936141-98936463:139	chr17	40316799	40316799	+	-1	NA	intron (NM_000964, intron 1 of 8)	CpG	-1446	NM_001145302	5914		NM_000964	ENSG00000131759	RARA	NR1B1|RAR|RARalpha	retinoic acid receptor alpha	protein-coding
chr15:25580477-25581205:403	chr5	16994914	16994914	+	-1	NA	Intergenic	Intergenic	-58626	NM_012334	4651		NM_012334	ENSG00000145555	MYO10	MyoX	myosin X	protein-coding
chr7:3289165-3289402:121	chr19	53866376	53866376	+	-1	NA	promoter-TSS (NM_001020820)	promoter-TSS (NM_001020820)	5	NM_001020820	91663		NM_138373	ENSG00000179820	MYADM	SB135	myeloid associated differentiation marker	protein-coding
chr4:137497316-137497854:296	chr1	21900117	21900117	+	-1	NA	intron (NM_001291860, intron 1 of 96)	intron (NM_001291860, intron 1 of 96)	37193	NM_005529	3339		NM_005529	ENSG00000142798	HSPG2	HSPG|PLC|PRCAN|SJA|SJS|SJS1	heparan sulfate proteoglycan 2	protein-coding
chr5:115534193-115534585:182	chr12	120232624	120232624	+	-1	NA	intron (NM_001080855, intron 1 of 11)	intron (NM_001080855, intron 1 of 11)	17539	NM_025157	5829		NM_002859	ENSG00000089159	PXN	-	paxillin	protein-coding
chr11:44581235-44581753:125	chr5	159137481	159137481	+	-1	NA	Intergenic	L2c|LINE|L2	36998	NR_109890	101927740		NR_109890	ENSG00000245812	LINC02202	-	long intergenic non-protein coding RNA 2202	ncRNA
chr3:21995537-21996478:189	chr3	177284512	177284512	+	-1	NA	Intergenic	Intergenic	-9930	NR_047465	100820709		NR_047465	ENSG00000203645	LINC00501	-	long intergenic non-protein coding RNA 501	ncRNA
chr17:46873980-46874621:285	chr6	42767781	42767781	+	-1	NA	intron (NM_001318819, intron 1 of 13)	intron (NM_001318819, intron 1 of 13)	-15715	NR_134654	401261		NM_001004322		LOC401261	-	uncharacterized LOC401261	ncRNA
chr12:91796752-91797275:214	chr14	81459628	81459628	+	-1	NA	Intergenic	Intergenic	-9471	NR_109999	100506700		NR_109999		LINC02308	-	long intergenic non-protein coding RNA 2308	ncRNA
chr1:89191167-89191781:100	chr2	235098911	235098911	+	-1	NA	Intergenic	Intergenic	71176	NM_001371306	23677		NM_014521	ENSG00000130147	SH3BP4	BOG25|TTP	SH3 domain binding protein 4	protein-coding
chr3:105023380-105023838:229	chr1	112431139	112431139	+	-1	NA	intron (NM_018704, intron 3 of 5)	intron (NM_018704, intron 3 of 5)	30694	NR_036210	100422976		NR_036210	ENSG00000283296	MIR4256	-	microRNA 4256	ncRNA
chr2:163380834-163381195:172	chr20	44167382	44167382	+	-1	NA	intron (NM_020433, intron 1 of 5)	L2c|LINE|L2	19806	NM_020433	57158		NM_020433	ENSG00000149596	JPH2	CMD2E|CMH17|JP-2|JP2	junctophilin 2	protein-coding
chr8:120473813-120474516:295	chr16	85531620	85531620	+	-1	NA	Intergenic	Intergenic	-79789	NM_001134473	23199		NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
chr5:147825199-147825956:360	chr13	28611559	28611559	+	-1	NA	Intergenic	Intergenic	-47571	NM_015932	51371		NM_015932	ENSG00000132963	POMP	C13orf12|HSPC014|PNAS-110|PRAAS2|UMP1	proteasome maturation protein	protein-coding
chr8:116036520-116036939:195	chr16	79966413	79966413	+	-1	NA	Intergenic	Intergenic	171164	NR_104661	101928248		NR_104660	ENSG00000260876	LINC01229	-	long intergenic non-protein coding RNA 1229	ncRNA
chr14:31182804-31183536:399	chr3	52482018	52482018	+	-1	NA	TTS (NM_001276293)	TTS (NM_001276293)	-13320	NM_015136	23166		NM_015136	ENSG00000010327	STAB1	CLEVER-1|FEEL-1|FEEL1|FELE-1|FEX1|HRFT|SCARH2|STAB-1	stabilin 1	protein-coding
chr19:44900309-44900794:261	chr10	100882941	100882941	+	-1	NA	Intergenic	UCON29|DNA|PiggyBac?	-30022	NM_001136123	55719		NM_018121	ENSG00000119906	SLF2	ATELS1|C10orf6|FAM178A	SMC5-SMC6 complex localization factor 2	protein-coding
chr11:49622037-49622351:139	chr5	180634184	180634184	+	-1	NA	intron (NM_001354989, intron 1 of 29)	intron (NM_001354989, intron 1 of 29)	15416	NM_002020	2324		NM_002020	ENSG00000037280	FLT4	CHTD7|FLT-4|FLT41|LMPH1A|LMPHM1|PCL|VEGFR-3|VEGFR3	fms related receptor tyrosine kinase 4	protein-coding
chr3:107743091-107744126:650	chr1	109928242	109928242	+	-1	NA	intron (NM_172211, intron 8 of 8)	intron (NM_172211, intron 8 of 8)	17393	NM_000757	1435		NM_000757	ENSG00000184371	CSF1	CSF-1|MCSF|PG-M-CSF	colony stimulating factor 1	protein-coding
chr1:79751065-79751656:133	chr2	223932898	223932898	+	-1	NA	intron (NM_020830, intron 1 of 11)	intron (NM_020830, intron 1 of 11)	12437	NM_020830	57590		NM_020830	ENSG00000085449	WDFY1	FENS-1|FENS1|WDF1|ZFYVE17	WD repeat and FYVE domain containing 1	protein-coding
chr5:113633007-113633324:172	chr12	108313155	108313155	+	-1	NA	intron (NM_001142344, intron 1 of 2)	intron (NM_001142344, intron 1 of 2)	7507	NM_001142345	1240		NM_004072	ENSG00000174600	CMKLR1	CHEMERINR|ChemR23|DEZ|ERV1|RVER1	chemerin chemokine-like receptor 1	protein-coding
chr3:145729626-145730415:107	chr1	85495090	85495090	+	-1	NA	intron (NM_001134445, intron 2 of 6)	intron (NM_001134445, intron 2 of 6)	-29931	NM_012137	23576		NM_012137	ENSG00000153904	DDAH1	DDAH|DDAH-1|DDAHI|HEL-S-16	dimethylarginine dimethylaminohydrolase 1	protein-coding
chr4:149564969-149565390:225	chr1	9849783	9849783	+	-1	NA	3' UTR (NM_001012329, exon 5 of 5)	3' UTR (NM_001012329, exon 5 of 5)	-25257	NM_001302883	22883		NM_014944	ENSG00000171603	CLSTN1	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	calsyntenin 1	protein-coding
chr17:88132397-88133374:706	chr2	47982832	47982832	+	-1	NA	Intergenic	Intergenic	-76334	NM_001190274	80204		NM_012167	ENSG00000138081	FBXO11	FBX11|IDDFBA|PRMT9|UBR6|UG063H01|VIT1	F-box protein 11	protein-coding
chr4:59366196-59366519:180	chr9	112099583	112099583	+	-1	NA	intron (NM_022486, intron 9 of 16)	intron (NM_022486, intron 9 of 16)	75714	NM_001282640	64420		NM_022486	ENSG00000106868	SUSD1	-	sushi domain containing 1	protein-coding
chr2:116049747-116050157:284	chr15	37084842	37084842	+	-1	NA	intron (NM_172316, intron 6 of 12)	intron (NM_172316, intron 6 of 12)	13854	NM_172315	4212		NM_002399	ENSG00000134138	MEIS2	CPCMR|HsT18361|MRG1	Meis homeobox 2	protein-coding
chr15:79096441-79096899:330	chr22	37892790	37892790	+	-1	NA	Intergenic	MIRc|SINE|MIR	-13507	NM_033386	85377		NM_033386	ENSG00000100139	MICALL1	MICAL-L1|MIRAB13	MICAL like 1	protein-coding
chr13:24993084-24993592:219	chr6	24423439	24423439	+	-1	NA	TTS (NM_001286265)	TTS (NM_001286265)	20503	NM_020662	57380		NM_020662	ENSG00000124532	MRS2	HPT|MRS2L	magnesium transporter MRS2	protein-coding
chr17:71485744-71486854:660	chr18	2637182	2637182	+	-1	NA	Intergenic	Intergenic	18213	NR_033754	645158		NR_033754	ENSG00000293256	CBX3P2	-	CBX3 pseudogene 2	pseudo
chr14:27379248-27379923:317	chr3	56755175	56755175	+	-1	NA	intron (NM_001289698, intron 3 of 10)	intron (NM_001289698, intron 3 of 10)	20542	NM_001377413	50650		NM_019555	ENSG00000163947	ARHGEF3	GEF3|STA3|XPLN	Rho guanine nucleotide exchange factor 3	protein-coding
chr2:115081667-115082754:376	chr15	35986516	35986516	+	-1	NA	Intergenic	Intergenic	59660	NR_039735	100616293		NR_039735	ENSG00000265098	MIR4510	mir-4510	microRNA 4510	ncRNA
chr17:17600806-17601243:80	chr5	96960555	96960555	+	-1	NA	intron (NM_175920, intron 1 of 17)	intron (NM_175920, intron 1 of 17)	2122	NM_175920	4012		NM_005575	ENSG00000113441	LNPEP	CAP|IRAP|P-LAP|PLAP	leucyl and cystinyl aminopeptidase	protein-coding
chr3:54708964-54709309:203	chr13	37031757	37031757	+	-1	NA	exon (NM_017569, exon 11 of 25)	exon (NM_017569, exon 11 of 25)	27730	NM_001278482	55578		NM_017569	ENSG00000102710	SUPT20H	C13|C13orf19|FAM48A|FP757|P38IP|SPT20	SPT20 homolog, SAGA complex component	protein-coding
chr2:84386644-84387453:352	chr2	187403962	187403962	+	-1	NA	intron (NM_001271751, intron 1 of 13)	intron (NM_001271751, intron 1 of 13)	44290	NM_001369435	10203		NM_005795	ENSG00000064989	CALCRL	CGRPR|CRLR|LMPHM8	calcitonin receptor like receptor	protein-coding
chr18:35831726-35832036:147	chr5	139650498	139650498	+	-1	NA	promoter-TSS (NM_001317205)	promoter-TSS (NM_001317205)	-491	NM_001317205	51523		NM_016463	ENSG00000171604	CXXC5	CF5|HSPC195|RINF|WID	CXXC finger protein 5	protein-coding
chr8:27106470-27107614:108	chr8	37825801	37825801	+	-1	NA	intron (NM_032777, intron 2 of 18)	intron (NM_032777, intron 2 of 18)	24060	NM_018310	55290		NM_018310	ENSG00000104221	BRF2	BRFU|TFIIIB50	BRF2 RNA polymerase III transcription initiation factor subunit	protein-coding
chr3:84665871-84666525:443	chr4	152679977	152679977	+	-1	NA	promoter-TSS (NM_152680)	promoter-TSS (NM_152680)	20	NM_152680	201799		NM_152680	ENSG00000170006	TMEM154	-	transmembrane protein 154	protein-coding
chr9:71726124-71726560:151	chr15	57437766	57437766	+	-1	NA	intron (NM_001252335, intron 2 of 19)	intron (NM_001252335, intron 2 of 19)	61261	NM_001252335	84952		NM_032866	ENSG00000128849	CGNL1	JACOP|PCING	cingulin like 1	protein-coding
chr7:83242019-83242545:354	chr15	81720611	81720611	+	-1	NA	Intergenic	Intergenic	325407	NM_032246	84206		NM_032246	ENSG00000183496	MEX3B	MEX-3B|RKHD3|RNF195	mex-3 RNA binding family member B	protein-coding
chr11:44612972-44613590:291	chr5	159104670	159104670	+	-1	NA	intron (NR_109890, intron 1 of 2)	intron (NR_109890, intron 1 of 2)	4187	NR_109890	101927740		NR_109890	ENSG00000245812	LINC02202	-	long intergenic non-protein coding RNA 2202	ncRNA
chr12:33175634-33176297:489	chr7	105838477	105838477	+	-1	NA	intron (NM_001385596, intron 2 of 11)	intron (NM_001385596, intron 2 of 11)	38108	NM_152749	222255		NM_020725	ENSG00000146776	ATXN7L1	ATXN7L4	ataxin 7 like 1	protein-coding
chr14:33923057-33924147:246	chr10	47300050	47300050	+	-1	NA	promoter-TSS (NM_004962)	promoter-TSS (NM_004962)	-147	NM_004962	2662		NM_004962	ENSG00000266524	GDF10	BIP|BMP-3b|BMP3B	growth differentiation factor 10	protein-coding
chr1:157039028-157039532:136	chr1	178594301	178594301	+	-1	NA	Intergenic	Intergenic	51505	NR_033186	400798		NM_207467	ENSG00000213057	C1orf220	-	chromosome 1 putative open reading frame 220	ncRNA
chr14:106424707-106425065:209	chr13	80957536	80957536	+	-1	NA	Intergenic	Intergenic	-60855	NR_125770	103724386		NR_125770		LINC00377	TCONS_00021861	long intergenic non-protein coding RNA 377	ncRNA
chr8:23157448-23158327:781	chr8	41645917	41645917	+	-1	NA	3' UTR (NM_001364841, exon 3 of 3)	3' UTR (NM_001364841, exon 3 of 3)	1442	NM_152568	157848		NM_152568	ENSG00000165066	NKX6-3	NKX6.3	NK6 homeobox 3	protein-coding
chr11:88235243-88236008:283	chr17	57810311	57810311	+	-1	NA	Intergenic	Intergenic	39733	NM_016070	51649		NM_016070	ENSG00000181610	MRPS23	CGI-138|COXPD46|HSPC329|MRP-S23|mS23	mitochondrial ribosomal protein S23	protein-coding
chr11:94570366-94571247:148	chr17	50463330	50463330	+	-1	NA	intron (NM_001288972, intron 7 of 15)	intron (NM_001288972, intron 7 of 15)	-4999	NR_110232	80221		NM_025149	ENSG00000167107	ACSF2	ACSMW|AVYV493	acyl-CoA synthetase family member 2	protein-coding
chr17:82877203-82877651:327	chr2	41721082	41721082	+	-1	NA	Intergenic	Intergenic	-156473	NR_033996	388942		NR_033996	ENSG00000214691	LINC01913	-	long intergenic non-protein coding RNA 1913	ncRNA
chr15:37791146-37792346:239	chr8	102123572	102123572	+	-1	NA	intron (NM_001040625, intron 1 of 6)	intron (NM_001040625, intron 1 of 6)	762	NM_001040627	83988		NM_032041	ENSG00000104490	NCALD	-	neurocalcin delta	protein-coding
chr18:63209658-63210169:365	chr18	10938426	10938426	+	-1	NA	intron (NM_001378183, intron 3 of 55)	intron (NM_001378183, intron 3 of 55)	-178777	NR_106846	102466735		NR_106846	ENSG00000274838	MIR6788	hsa-mir-6788	microRNA 6788	ncRNA
chr2:73485200-73485842:347	chr2	174633665	174633665	+	-1	NA	intron (NM_001375832, intron 1 of 8)	intron (NM_001375832, intron 1 of 8)	940	NM_001375832	7456		NM_003387	ENSG00000115935	WIPF1	PRPL-2|WAS2|WASPIP|WIP	WAS/WASL interacting protein family member 1	protein-coding
chr14:31182804-31183536:163	chr3	52482293	52482293	+	-1	NA	TTS (NM_001276293)	TTS (NM_001276293)	-13045	NM_015136	23166		NM_015136	ENSG00000010327	STAB1	CLEVER-1|FEEL-1|FEEL1|FELE-1|FEX1|HRFT|SCARH2|STAB-1	stabilin 1	protein-coding
chr18:64682192-64682988:188	chr18	57816401	57816401	+	-1	NA	Intergenic	Intergenic	-13086	NM_001374386	5205		NM_005603	ENSG00000081923	ATP8B1	ATPIC|BRIC|FIC1|ICP1|PFIC|PFIC1	ATPase phospholipid transporting 8B1	protein-coding
chr5:135250653-135251542:103	chr12	130163196	130163196	+	-1	NA	exon (NM_007197, exon 1 of 1)	exon (NM_007197, exon 1 of 1)	737	NM_007197	11211		NM_007197	ENSG00000111432	FZD10	CD350|FZ-10|Fz10|FzE7|hFz10	frizzled class receptor 10	protein-coding
chr14:105979444-105979975:188	chr13	80436503	80436503	+	-1	NA	Intergenic	Intergenic	-95377	NM_005842	10253		NM_005842	ENSG00000136158	SPRY2	IGAN3|hSPRY2	sprouty RTK signaling antagonist 2	protein-coding
chr13:58066510-58068086:219	chr5	137695052	137695052	+	-1	NA	intron (NM_017415, intron 4 of 14)	intron (NM_017415, intron 4 of 14)	11375	NM_001257195	26249		NM_017415	ENSG00000146021	KLHL3	PHA2D	kelch like family member 3	protein-coding
chr5:45300839-45301649:571	chr4	17347863	17347863	+	-1	NA	Intergenic	Intergenic	-26981	NR_145770	109616994		NR_145770	ENSG00000206780	SNORA75B	-	small nucleolar RNA, H/ACA box 75B	snoRNA
chr1:118976561-118976987:174	chr2	120826090	120826090	+	-1	NA	intron (NM_001374354, intron 2 of 12)	intron (NM_001374354, intron 2 of 12)	33809	NM_005270	2736		NM_005270	ENSG00000074047	GLI2	CJS|HPE9|PHS2|THP1|THP2	GLI family zinc finger 2	protein-coding
chr3:151386118-151386456:197	chr1	79079962	79079962	+	-1	NA	Intergenic	Intergenic	-73232	NM_022159	64123		NM_022159	ENSG00000162618	ADGRL4	ELTD1|ETL|KPG_003	adhesion G protein-coupled receptor L4	protein-coding
